267.523437500	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.046112061	21.739500046
268.108612061	26.667102814
268.166656494	31.594697952
268.220977783	36.522300720
268.230651855	37.391899109
268.239593506	38.261501312
268.248535156	39.131099701
268.258209229	40.000667572
268.267120361	40.870231628
268.276062012	41.739803314
268.280517578	42.174602509
268.284240723	42.609397888
268.288696289	43.044200897
268.293182373	43.479000092
268.297637939	43.913799286
268.302093506	44.348598480
268.306579590	44.783367157
268.310272217	45.218132019
268.314758301	45.652900696
268.319213867	46.087699890
268.323669434	46.522502899
268.327392578	46.957298279
268.331878662	47.392105103
268.336334229	47.826900482
268.340057373	48.261699677
268.360900879	50.435630798
268.380981445	52.609565735
268.401062012	54.783500671
268.414459229	56.221298218
268.427124023	57.659103394
268.439758301	59.096900940
268.461334229	61.559261322
268.482940674	64.021636963
268.503753662	66.484001160
268.584960938	76.333518982
268.661682129	86.182983398
268.734710693	96.032501221
268.787414551	103.419677734
268.839385986	110.806808472
268.889129639	118.193992615
268.953918457	128.043334961
269.017211914	137.892654419
269.077484131	147.742004395
269.122680664	155.129364014
269.166381836	162.516632080
269.210083008	169.904006958
269.223632812	172.366333008
269.238708496	174.828674316
269.252288818	177.291000366
269.252288818	177.291000366
269.252288818	177.291000366
269.252288818	177.291000366
269.238311768	174.828674316
269.224609375	172.366317749
269.210845947	169.904006958
269.182128906	164.978988647
269.152893066	160.054016113
269.123779297	155.128997803
269.062652588	145.279632568
269.001617432	135.430343628
268.937591553	125.581001282
268.855468750	113.269104004
268.770568848	100.957283020
268.680450439	88.645401001
268.604644775	78.795883179
268.524871826	68.946418762
268.439697266	59.096900940
268.372497559	51.709785461
268.302032471	44.322715759
268.225708008	36.935600281
268.199249268	34.473224640
268.171447754	32.010871887
268.143096924	29.548498154
268.113769531	27.086095810
268.083496094	24.623704910
268.051879883	22.161300659
268.040313721	21.296033859
268.028686523	20.430768967
268.016998291	19.565500259
